MT;Norte Mato-grossense;Alta Floresta;Nova Bandeirantes;0;0;6951;11643;13635
MT;Norte Mato-grossense;Paranatinga;Nova Brasilândia;11495;9611;5786;4587;4200
MT;Norte Mato-grossense;Colider;Nova Canaã do Norte;7986;13963;11516;12127;6670
MT;Norte Mato-grossense;Colider;Nova Guarita;0;0;5651;4932;4239
MT;Sudoeste Mato-grossense;Alto Guaporé;Nova Lacerda;0;0;4045;5436;3932
MT;Centro-sul Mato-grossense;Alto Paraguai;Nova Marilândia;0;0;2354;2951;11707
MT;Norte Mato-grossense;Arinos;Nova Maringá;0;0;3950;6590;4588
MT;Norte Mato-grossense;Alta Floresta;Nova Monte Verde;0;0;6827;8093;3529
MT;Norte Mato-grossense;Alto Teles Pires;Nova Mutum;1085;5491;14818;31649;5846
MT;Nordeste Mato-grossense;Canarana;Nova Nazaré;0;0;0;3029;8313
MT;Sudoeste Mato-grossense;Tangará da Serra;Nova Olímpia;3588;7006;14186;17515;55648
MT;Norte Mato-grossense;Sinop;Nova Santa Helena;0;0;0;3468;16352
MT;Norte Mato-grossense;Alto Teles Pires;Nova Ubiratã;0;0;5654;9218;11498
MT;Nordeste Mato-grossense;Canarana;Nova Xavantina;16506;18505;17832;19643;24345
MT;Norte Mato-grossense;Arinos;Novo Horizonte do Norte;4849;4266;3511;3749;6520
MT;Norte Mato-grossense;Colider;Novo Mundo;0;0;4997;7332;3349
MT;Nordeste Mato-grossense;Norte Araguaia;Novo Santo Antônio;0;0;0;2005;6919
MT;Nordeste Mato-grossense;Canarana;Novo São Joaquim;4408;7153;9464;6042;2015
MT;Norte Mato-grossense;Alta Floresta;Paranaíta;3883;12143;10254;10684;11671
MT;Norte Mato-grossense;Paranatinga;Paranatinga;11165;18315;15342;19290;26423
MT;Sudeste Mato-grossense;Rondonópolis;Pedra Preta;12346;11222;13611;15755;18066
MT;Norte Mato-grossense;Colider;Peixoto de Azevedo;1034;37201;26156;30812;32714
MT;Norte Mato-grossense;Paranatinga;Planalto da Serra;0;0;2881;2726;3166
MT;Sudeste Mato-grossense;Tesouro;Poconé;23359;29696;30773;31779;31217
MT;Sudeste Mato-grossense;Tesouro;Pontal do Araguaia;0;0;3736;5395;6932
MT;Sudoeste Mato-grossense;Alto Guaporé;Ponte Branca;3495;3731;2087;1768;2008
MT;Sudoeste Mato-grossense;Alto Guaporé;Pontes e Lacerda;14406;34517;43012;41408;52018
MT;Nordeste Mato-grossense;Norte Araguaia;Porto Alegre do Norte;4077;10164;8623;10748;13865
MT;Norte Mato-grossense;Arinos;Porto dos Gaúchos;1254;6530;5665;5449;5593
MT;Sudoeste Mato-grossense;Jauru;Porto Esperidião;5413;8581;9996;11031;10204
MT;Sudoeste Mato-grossense;Tangará da Serra;Porto Estrela;0;0;4707;3649;3224
MT;Sudoeste Mato-grossense;Tesouro;Poxoréo;22582;23831;20030;17599;23283
MT;Sudeste Mato-grossense;Primavera do Leste;Primavera do Leste;6874;12533;39857;52066;85146
MT;Norte Mato-grossense;Canarana;Querência;0;0;7274;13033;26769
MT;Sudoeste Mato-grossense;Jauru;Reserva do Cabaçal;5952;3188;2418;2572;2122
MT;Nordeste Mato-grossense;Norte Araguaia;Ribeirão Cascalheira;3316;8635;8866;8881;9896
MT;Sudoeste Mato-grossense;Tesouro;Ribeirãozinho;0;0;1980;2199;2593
MT;Sudoeste Mato-grossense;Jauru;Rio Branco;11621;11848;5092;5070;4535
MT;Norte Mato-grossense;Aripuanã;Rondolândia;0;0;0;3604;3505
